area_scaling_factor,vdd_vpp_scaling_factor,tRCD(ns),tCL(ns),tRAS(ns),tRP(ns),tRC(ns),tRL(ns),tRTP(ns),tCCD(ns),tWR(ns),tRFC(ns),subarray_height(um),subarray_width(um),tile_heigh(um),tile_width(um),bank_height(um),bank_width(um),channel_height(um),channel_width(um),channel_area(mm^2),idd0(ma),ipp0(ma),idd1(ma),ipp1(ma),idd2n(ma),idd3n(ma),ipp3n(ma),idd4r(ma),idd4w(ma)
0.25,0.50,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001,88.7727,30.96,39.518,827.08,479.216,952.08,1208.43,4033.32,4833.73,19.496,0.8535445478526734,0.9610607755700171,0.8368986027211216,0.9610607755700171,1.0,1.0,1.0,0.5489768560160521,0.5489768560160521
0.25,0.83,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001,88.7727,30.96,39.518,827.08,479.216,952.08,1208.43,4033.32,4833.73,19.496,0.9366302661335212,1.0322581661755668,0.9594552448279448,1.0322581661755668,1.0,1.0,1.0,0.6785269494222652,0.6785269494222652
0.25,1.00,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001,88.7727,30.96,39.518,827.08,479.216,952.08,1208.43,4033.32,4833.73,19.496,0.9781704362417011,1.0678537100357688,1.0207346718484915,1.0678537100357688,1.0,1.0,1.0,0.7433015636891995,0.7433015636891995
0.25,1.40,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001,88.7727,30.96,39.518,827.08,479.216,952.08,1208.43,4033.32,4833.73,19.496,1.0778716847593721,1.1532893181853994,1.1678061814715113,1.1532893181853994,1.0,1.0,1.0,0.8987580433128072,0.8987580433128072
0.25,2.00,0.30790951831472135,0.9402045487708997,0.5337085191902358,0.5568643703927048,0.5421621600594397,0.9402045487708997,0.9376196920562776,0.9434044882320745,0.737347482642001,88.7727,30.96,39.518,827.08,479.216,952.08,1208.43,4033.32,4833.73,19.496,1.2274222130197563,1.281442730409845,1.3884112339717714,1.281442730409845,1.0,1.0,1.0,1.131953573652529,1.131953573652529
0.69,0.50,0.6666997263043457,0.9794166265569294,0.778564776236459,1.3494560475094104,0.9870072782581971,0.9794166265569294,0.9789852667058193,0.9809367425130971,0.7445117651979589,100.536,44.9333,62.53,1148.47,755.36,1273.47,1760.72,5318.87,7042.88,37.4601,0.8447890588656048,0.9239998109134455,0.7912818822675866,0.9239998109134455,1.0,1.0,1.0,0.6369205355289559,0.6369205355289559
0.69,0.83,0.6666997263043457,0.9794166265569294,0.778564776236459,1.3494560475094104,0.9870072782581971,0.9794166265569294,0.9789852667058193,0.9809367425130971,0.7445117651979589,100.536,44.9333,62.53,1148.47,755.36,1273.47,1760.72,5318.87,7042.88,37.4601,0.9220341991120815,0.9704867403053747,0.8982842025866359,0.9704867403053747,1.0,1.0,1.0,0.8219106759842247,0.8219106759842247
0.69,1.00,0.6666997263043457,0.9794166265569294,0.778564776236459,1.3494560475094104,0.9870072782581971,0.9794166265569294,0.9789852667058193,0.9809367425130971,0.7445117651979589,100.536,44.9333,62.53,1148.47,755.36,1273.47,1760.72,5318.87,7042.88,37.4601,0.96065676923532,0.9937317807226257,0.9517864687132958,0.9937317807226257,1.0,1.0,1.0,0.9144035840309971,0.9144035840309971
0.69,1.40,0.6666997263043457,0.9794166265569294,0.778564776236459,1.3494560475094104,0.9870072782581971,0.9794166265569294,0.9789852667058193,0.9809367425130971,0.7445117651979589,100.536,44.9333,62.53,1148.47,755.36,1273.47,1760.72,5318.87,7042.88,37.4601,1.0533503997246432,1.049518617146999,1.0801870411618848,1.049518617146999,1.0,1.0,1.0,1.1363990175050165,1.1363990175050165
0.69,2.00,0.6666997263043457,0.9794166265569294,0.778564776236459,1.3494560475094104,0.9870072782581971,0.9794166265569294,0.9789852667058193,0.9809367425130971,0.7445117651979589,100.536,44.9333,62.53,1148.47,755.36,1273.47,1760.72,5318.87,7042.88,37.4601,1.19239218997475,1.1331988717835588,1.2727912177361738,1.1331988717835588,1.0,1.0,1.0,1.4693748702691485,1.4693748702691485
